restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/tatilani-anchorage-2,Polynesian,Japanese,,,
https://www.yelp.com/biz/alaskan-burger-and-brew-anchorage,Burgers,,,,
https://www.yelp.com/biz/pho-saigon-anchorage-2,Vietnamese,,,,
https://www.yelp.com/biz/market-juice-anchorage,Cafes,Juice Bars & Smoothies,Coffee & Tea,,
https://www.yelp.com/biz/alaska-house-of-coffee-anchorage,,,,,
https://www.yelp.com/biz/the-alaska-museum-of-science-and-nature-anchorage,Museums,Kids Activities,Venues & Event Spaces,,
https://www.yelp.com/biz/pho-vietnam-2-anchorage-3,,,,,
https://www.yelp.com/biz/souper-bowl-anchorage,,,,,
https://www.yelp.com/biz/reillys-north-star,,,,,
https://www.yelp.com/biz/dennys-anchorage-2,,,,,
https://www.yelp.com/biz/meraki-hellenic-grill-anchorage-3,,,,,
https://www.yelp.com/biz/oec-revolving-sushi-bar-anchorage-2,,,,,
https://www.yelp.com/biz/el-rodeo-mexican-restaurant-and-bar-anchorage,,,,,
https://www.yelp.com/biz/saras-too-anchorage,,,,,
https://www.yelp.com/biz/golden-gate-restaurant-anchorage,,,,,
https://www.yelp.com/biz/kennys-kitchen-chinese-comfort-food-anchorage,,,,,
https://www.yelp.com/biz/hood-wings-anchorage,,,,,
https://www.yelp.com/biz/that-wing-place-anchorage-2,,,,,
https://www.yelp.com/biz/gelatte-anchorage,,,,,
https://www.yelp.com/biz/flattop-pizza-and-pool-anchorage,,,,,
https://www.yelp.com/biz/pils-deli-anchorage,,,,,
https://www.yelp.com/biz/skinny-raven-sports-anchorage,Shoe Stores,Sports Wear,Hiking,,
https://www.yelp.com/biz/momma-os-seafood-anchorage,,,,,
https://www.yelp.com/biz/chicken-shack-anchorage-4,,,,,
https://www.yelp.com/biz/pho-lena-east-anchorage,,,,,
https://www.yelp.com/biz/texas-roadhouse-anchorage-10,,,,,
https://www.yelp.com/biz/peggys-restaurant-anchorage-2,,,,,
https://www.yelp.com/biz/burrito-factory-anchorage,,,,,
https://www.yelp.com/biz/kaladi-coffee-anchorage,,,,,
https://www.yelp.com/biz/golden-donuts-anchorage,,,,,
https://www.yelp.com/biz/thai-siam-anchorage,,,,,
https://www.yelp.com/biz/mad-myrnas-anchorage,,,,,
https://www.yelp.com/biz/tofu-house-anchorage,Korean,Asian Fusion,,,
https://www.yelp.com/biz/yogurtworks-anchorage,,,,,
https://www.yelp.com/biz/kaladi-brothers-cafe-anchorage,,,,,
https://www.yelp.com/biz/sami-s-city-diner-anchorage,,,,,
https://www.yelp.com/biz/don-joses-anchorage,,,,,
https://www.yelp.com/biz/naruto-japanese-restaurant-anchorage,Ramen,,,,
